Timo,45209,45209
Juha,45205,90414
Matti,44040,134454
Kari,40897,175351
Mikko,38895,214246
Antti,38263,252509
Jari,38200,290709
Jukka,34434,325143
Mika,33742,358885
Markku,33524,392409
Pekka,32954,425363
Hannu,30512,455875
Heikki,29762,485637
Seppo,28588,514225
Janne,27701,541926
Ari,27270,569196
Sami,26330,595526
Ville,25784,621310
Marko,25252,646562
Petri,24265,670827
Lauri,23495,694322
Jani,22855,717177
Erkki,22549,739726
Pentti,21978,761704
Jorma,21034,782738
Teemu,20341,803079
Harri,20150,823229
Eero,19179,842408
Jarmo,18793,861201
Jaakko,18792,879993
Raimo,18777,898770
Risto,18541,917311
Jussi,18156,935467
Pasi,18137,953604
Juho,17251,970855
Esa,17243,988098
Pertti,16986,1005084
Niko,16880,1021964
Jouni,16846,1038810
Toni,16789,1055599
Martti,16752,1072351
Arto,16456,1088807
Reijo,16294,1105101
Veikko,15926,1121027
Markus,15849,1136876
Vesa,15552,1152428
Tomi,15515,1167943
Jouko,15472,1183415
Tuomas,15409,1198824
Aleksi,15302,1214126
Olli,15291,1229417
Esko,14948,1244365
Kimmo,14860,1259225
Joni,14550,1273775
Tommi,14388,1288163
Tero,13977,1302140
Joonas,13148,1315288
Henri,12689,1327977
Eetu,12420,1340397
Leo,11703,1352100
Kalle,11511,1363611
Ilkka,11429,1375040
Jarkko,11390,1386430
Paavo,11252,1397682
Jesse,11026,1408708
Pauli,10948,1419656
Eino,10707,1430363
Tuomo,10671,1441034
Joona,10592,1451626
Elias,10093,1461719
Jere,9886,1471605
Tapio,9882,1481487
Mikael,9722,1491209
Juuso,9565,1500774
Veli,9524,1510298
Matias,9394,1519692
Onni,9378,1529070
Keijo,9031,1538101
Simo,8936,1547037
Arttu,8873,1555910
Jyrki,8820,1564730
Lasse,8652,1573382
Leevi,8459,1581841
Juhani,8229,1590070
Aki,8082,1598152
Kai,7925,1606077
Riku,7885,1613962
Mauri,7883,1621845
Toivo,7881,1629726
Joel,7819,1637545
Väinö,7806,1645351
Niklas,7741,1653092
Otto,7646,1660738
Miika,7451,1668189
Jarno,7336,1675525
Kauko,7314,1682839
Reino,7176,1690015
Daniel,7152,1697167
Niilo,7100,1704267
Veeti,7073,1711340
Jan,7069,1718409
Rauno,6953,1725362
Valtteri,6941,1732303
Teuvo,6714,1739017
Rasmus,6473,1745490
Ossi,6173,1751663
Roope,6129,1757792
Olavi,6129,1763921
Ismo,5944,1769865
Santeri,5922,1775787
Veijo,5888,1781675
Tauno,5847,1787522
Anssi,5775,1793297
Anton,5753,1799050
Oskari,5747,1804797
Atte,5681,1810478
Oliver,5628,1816106
Aaro,5535,1821641
Osmo,5513,1827154
Miro,5505,1832659
Vilho,5496,1838155
Asko,5400,1843555
Kalevi,5380,1848935
Samuli,5342,1854277
Samu,5285,1859562
Aapo,5155,1864717
Samuel,5145,1869862
Emil,5123,1874985
Tuukka,5029,1880014
Lassi,4969,1884983
Kim,4934,1889917
Aimo,4840,1894757
Taisto,4816,1899573
Yrjö,4686,1904259
Eemeli,4586,1908845
Johan,4578,1913423
Julius,4489,1917912
Roni,4474,1922386
Topi,4436,1926822
Jimi,4396,1931218
Konsta,4327,1935545
Henry,4284,1939829
Henrik,4279,1944108
Aarne,4267,1948375
Karl,4250,1952625
Tarmo,4193,1956818
Tapani,4176,1960994
Miikka,4160,1965154
Akseli,4133,1969287
Tatu,4130,1973417
Jyri,4078,1977495
Mauno,4069,1981564
Erik,4066,1985630
Aatu,4003,1989633
Sakari,3988,1993621
Johannes,3964,1997585
Viljo,3944,2001529
Max,3930,2005459
Alex,3922,2009381
Tom,3872,2013253
Patrik,3857,2017110
Saku,3855,2020965
Sauli,3828,2024793
Vili,3797,2028590
Ahti,3794,2032384
Ilpo,3769,2036153
Arvo,3739,2039892
Eemil,3657,2043549
Kaarlo,3650,2047199
Kasper,3633,2050832
Alpo,3562,2054394
Viljami,3557,2057951
Kaj,3550,2061501
Lars,3515,2065016
Oiva,3495,2068511
Kristian,3478,2071989
Rami,3447,2075436
Veli-Matti,3429,2078865
Benjamin,3361,2082226
Eeli,3331,2085557
Jonne,3328,2088885
Unto,3317,2092202
Peter,3309,2095511
Iiro,3239,2098750
Kyösti,3219,2101969
Eelis,3204,2105173
Miska,3199,2108372
Lenni,3194,2111566
Juha-Pekka,3182,2114748
Jami,3043,2117791
Topias,3034,2120825
Heimo,3023,2123848
Sampo,3021,2126869
Jukka-Pekka,2948,2129817
Nico,2905,2132722
Sebastian,2902,2135624
Aulis,2885,2138509
Robert,2837,2141346
Otso,2837,2144183
Pyry,2831,2147014
Luka,2755,2149769
Hugo,2732,2152501
Aaron,2732,2155233
Teppo,2729,2157962
Hans,2727,2160689
Tony,2716,2163405
Urho,2691,2166096
Alexander,2588,2168684
Sulo,2577,2171261
Thomas,2562,2173823
Aku,2558,2176381
Petteri,2552,2178933
Miko,2524,2181457
Leif,2522,2183979
Santtu,2495,2186474
Ilari,2448,2188922
Noel,2439,2191361
Nooa,2429,2193790
Perttu,2378,2196168
Panu,2377,2198545
Robin,2344,2200889
Luukas,2336,2203225
Veli-Pekka,2281,2205506
Harry,2270,2207776
Carl,2259,2210035
Veikka,2254,2212289
Voitto,2244,2214533
Tomas,2243,2216776
Peetu,2241,2219017
Juha-Matti,2210,2221227
Elmeri,2196,2223423
Olli-Pekka,2163,2225586
Jonas,2155,2227741
Jasper,2123,2229864
Rainer,2096,2231960
John,2095,2234055
Urpo,2094,2236149
Ilmari,2094,2238243
Terho,2020,2240263
Lucas,1994,2242257
Nils,1976,2244233
Nuutti,1953,2246186
Aatos,1948,2248134
Antero,1933,2250067
Christian,1932,2251999
Oskar,1922,2253921
Aarno,1916,2255837
Paul,1900,2257737
Tino,1896,2259633
Lukas,1879,2261512
Klaus,1876,2263388
Joonatan,1863,2265251
Teijo,1862,2267113
Reima,1853,2268966
Aarni,1773,2270739
Anders,1771,2272510
Aarre,1767,2274277
Stefan,1765,2276042
Joakim,1759,2277801
Lari,1751,2279552
Bengt,1747,2281299
Hannes,1733,2283032
Severi,1730,2284762
Kaapo,1718,2286480
Stig,1677,2288157
Kasperi,1661,2289818
Oscar,1650,2291468
Tommy,1648,2293116
Ari-Pekka,1638,2294754
Justus,1631,2296385
Alvar,1631,2298016
Frans,1627,2299643
Arvi,1620,2301263
Axel,1606,2302869
Rolf,1581,2304450
Sisu,1573,2306023
Jesper,1567,2307590
Karri,1563,2309153
Luca,1545,2310698
William,1526,2312224
Andreas,1523,2313747
Sven,1521,2315268
Marcus,1515,2316783
Jori,1494,2318277
Kalervo,1487,2319764
Martin,1483,2321247
Manu,1483,2322730
Erno,1469,2324199
Ali,1447,2325646
Kurt,1439,2327085
Elmo,1423,2328508
Jerry,1418,2329926
Jooa,1389,2331315
Kimi,1387,2332702
Mats,1380,2334082
Tenho,1371,2335453
Kenneth,1369,2336822
Taneli,1367,2338189
Ralf,1350,2339539
Touko,1322,2340861
Timi,1319,2342180
Taavi,1278,2343458
Jari-Pekka,1274,2344732
Patrick,1273,2346005
Vertti,1268,2347273
Rauli,1262,2348535
Simon,1249,2349784
Viktor,1243,2351027
Jonathan,1239,2352266
Bo,1234,2353500
Eemi,1225,2354725
Per,1225,2355950
Björn,1223,2357173
Verneri,1213,2358386
Milo,1207,2359593
Fredrik,1207,2360800
Felix,1177,2361977
Raine,1171,2363148
Jiri,1166,2364314
Michael,1165,2365479
Linus,1148,2366627
Heino,1138,2367765
Juhana,1134,2368899
Mico,1134,2370033
Kevin,1132,2371165
Mohamed,1106,2372271
Casper,1081,2373352
Eerik,1071,2374423
Kosti,1056,2375479
Tuure,1056,2376535
Dan,1052,2377587
Ulf,1052,2378639
Tobias,1041,2379680
David,1029,2380709
Jan-Erik,1019,2381728
Sampsa,1002,2382730
Mathias,1002,2383732
Artturi,999,2384731
Niki,976,2385707
Helge,965,2386672
Edvin,964,2387636
Adam,957,2388593
Ville-Veikko,924,2389517
Armas,920,2390437
Christer,916,2391353
Magnus,915,2392268
Noah,914,2393182
Visa,913,2394095
Allan,903,2394998
Erkka,900,2395898
Jens,898,2396796
Auvo,887,2397683
Bror,884,2398567
Ilmo,872,2399439
Taito,867,2400306
Victor,850,2401156
Iikka,850,2402006
Eliel,840,2402846
Alf,829,2403675
Kjell,824,2404499
Jose,819,2405318
Tiitus,818,2406136
Roger,817,2406953
Krister,817,2407770
Joose,815,2408585
Ukko,811,2409396
Jalo,810,2410206
Sasu,799,2411005
Petrus,797,2411802
Jeremias,790,2412592
Valto,789,2413381
Albert,778,2414159
Teo,769,2414928
Niclas,767,2415695
Marco,767,2416462
Jussi-Pekka,759,2417221
Aleksanteri,756,2417977
Vesa-Matti,755,2418732
Leon,754,2419486
Waltteri,749,2420235
Altti,747,2420982
Göran,746,2421728
Jimmy,743,2422471
Antton,729,2423200
Jon,728,2423928
Okko,727,2424655
Kaarle,725,2425380
Nikolas,724,2426104
Isto,721,2426825
Jonatan,720,2427545
Niila,715,2428260
Filip,714,2428974
Börje,710,2429684
Jarl,696,2430380
Iivo,682,2431062
Ahmed,681,2431743
Johnny,671,2432414
Roy,665,2433079
Nicolas,664,2433743
Liam,662,2434405
Richard,659,2435064
Elia,658,2435722
Oula,655,2436377
Paulus,648,2437025
Noa,647,2437672
Iivari,643,2438315
Eric,642,2438957
Gabriel,640,2439597
Tor,634,2440231
Turo,623,2440854
Jim,618,2441472
Jonni,609,2442081
Venni,607,2442688
Torsti,606,2443294
Vincent,606,2443900
Dennis,600,2444500
Andrei,586,2445086
Tim,585,2445671
Ilja,583,2446254
Rene,581,2446835
Hemmo,577,2447412
Rafael,569,2447981
Christoffer,568,2448549
Mio,568,2449117
Nicholas,564,2449681
Aamos,561,2450242
Reko,555,2450797
Ben,554,2451351
Eevert,552,2451903
Isak,552,2452455
Mark,546,2453001
Håkan,545,2453546
Ensio,542,2454088
Åke,540,2454628
Hermanni,535,2455163
Bjarne,535,2455698
Jalmari,534,2456232
Atso,522,2456754
Sam,522,2457276
Petja,519,2457795
Theo,515,2458310
Adrian,513,2458823
Ville-Pekka,512,2459335
Frank,511,2459846
Jare,511,2460357
Nikolai,509,2460866
Kauno,505,2461371
Raino,502,2461873
Miki,500,2462373
Vesa-Pekka,500,2462873
Jasu,498,2463371
Usko,498,2463869
Pietari,496,2464365
Walter,496,2464861
Dani,495,2465356
Juri,494,2465850
Aron,493,2466343
Gunnar,492,2466835
Eppu,488,2467323
Mirko,483,2467806
Vladimir,480,2468286
Amos,474,2468760
Elis,474,2469234
Aapeli,472,2469706
Eljas,470,2470176
Antti-Jussi,463,2470639
Arno,462,2471101
Arne,458,2471559
Valter,458,2472017
Guy,455,2472472
Mohammad,454,2472926
Neo,443,2473369
Jaro,438,2473807
Aukusti,437,2474244
Kari-Pekka,436,2474680
Gustav,433,2475113
Kaius,423,2475536
Christopher,423,2475959
Georg,419,2476378
Pontus,418,2476796
Sten,414,2477210
Antti-Pekka,413,2477623
Pekko,412,2478035
Toimi,410,2478445
Omar,409,2478854
Einari,405,2479259
Aatto,404,2479663
Ronny,404,2480067
Boris,403,2480470
Aksel,400,2480870
Elliot,400,2481270
Arsi,397,2481667
Nicklas,397,2482064
Turkka,396,2482460
Aleksandr,390,2482850
Samppa,387,2483237
Kent,382,2483619
Into,381,2484000
Rune,379,2484379
Tage,379,2484758
Antto,378,2485136
André,376,2485512
Mattias,373,2485885
Ivan,370,2486255
Klas,370,2486625
Jakob,368,2486993
Sergei,366,2487359
Romeo,363,2487722
Kristoffer,360,2488082
Mohammed,356,2488438
Mikke,355,2488793
Soini,351,2489144
Asmo,348,2489492
Osku,347,2489839
Wille,347,2490186
Maxim,347,2490533
Nestori,344,2490877
Artur,343,2491220
Elmer,340,2491560
Jonny,338,2491898
Pavel,338,2492236
Bruno,338,2492574
Igor,337,2492911
Joa,337,2493248
Ibrahim,337,2493585
Arthur,337,2493922
Van,332,2494254
Nino,331,2494585
Uuno,331,2494916
Muhammad,327,2495243
Ruben,326,2495569
Ole,325,2495894
Vilppu,324,2496218
Matts,322,2496540
Orvo,320,2496860
Nikita,320,2497180
Abdirahman,320,2497500
Ville-Petteri,319,2497819
Wilhelm,318,2498137
Philip,316,2498453
Anttoni,316,2498769
Albin,316,2499085
Alvin,312,2499397
Pietu,310,2499707
Joosua,309,2500016
James,309,2500325
Amir,308,2500633
Svante,306,2500939
Aleksander,304,2501243
Karo,304,2501547
Mitja,304,2501851
Pete,302,2502153
Herman,302,2502455
Viljam,302,2502757
Lennart,302,2503059
Jacob,301,2503360
Roman,300,2503660
August,298,2503958
Aake,297,2504255
Valde,296,2504551
Kasimir,295,2504846
